Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,logORB,logDRB,logTRB,logMP,logPF,logPTS,logFGA,logFTA,logTOV,logEFG,logFGpct,logFTpct
1,123,Monta Ellis\ellismo01,SG,31,IND,74,33,27,247,7.527027027,0.443,43,135,0.319,204,422,0.483,0.482,93,1.72972973,0.727,0.256756757,2.5,2.756756757,236,78,27,1.824324324,2.013513514,8.513513514,-1.359626114,0.916290732,1.014054901,3.295836866,0.699881213,2.141654726,2.018500147,0.547965171,0.601209685,-0.729811165,-0.814185509,-0.318828801
1,124,Joel Embiid\embiijo01,C,22,PHI,31,31,25.35483871,200,13.83870968,0.466,36,98,0.367,164,331,0.495,0.508,191,7.870967742,0.783,1.967741935,5.870967742,7.838709677,66,27,76,3.774193548,3.612903226,20.22580645,0.67688666,1.770019483,2.059074239,3.232969588,1.284511667,3.006959336,2.627469714,2.063181021,1.32818673,-0.677273831,-0.763569645,-0.244622583
1,125,James Ennis\ennisja01,SF,26,MEM,64,28,23.453125,146,5.015625,0.455,51,137,0.372,95,184,0.516,0.534,86,1.71875,0.782,1.078125,2.96875,4.046875,64,46,19,0.921875,2.578125,6.703125,0.075223421,1.088140989,1.397944978,3.155003748,0.947062391,1.902573836,1.61255804,0.541597282,-0.081345639,-0.62735944,-0.78745786,-0.245900538
1,126,Tyler Ennis\ennisty01,PG,22,TOT,53,2,11.09433962,90,3.924528302,0.433,27,70,0.386,63,138,0.457,0.498,21,0.471698113,0.84,0.169811321,0.679245283,0.849056604,86,25,2,0.849056604,1.094339623,4.301886792,-1.773067336,-0.386772975,-0.163629424,2.406435034,0.090151097,1.459053715,1.367246166,-0.751416089,-0.163629424,-0.697155202,-0.837017551,-0.174353387
1,127,Tyreke Evans\evansty01,SF,27,TOT,40,6,19.7,150,9.25,0.405,42,118,0.356,108,252,0.429,0.462,69,2.3,0.75,0.325,3.1,3.425,124,35,9,1.525,1.5,10.275,-1.123930097,1.131402111,1.231101472,2.980618636,0.405465108,2.32971376,2.224623552,0.832909123,0.42199441,-0.772190388,-0.903868212,-0.287682072
1,128,Dante Exum\exumda01,PG,21,UTA,66,26,18.60606061,155,5.5,0.427,44,149,0.295,111,214,0.519,0.488,58,1.106060606,0.795,0.454545455,1.545454545,2,111,21,12,1.212121212,2.212121212,6.242424242,-0.78845736,0.435318071,0.693147181,2.923487367,0.79395188,1.831368607,1.704748092,0.100804699,0.192371893,-0.717439873,-0.850971266,-0.229413164
1,129,Kenneth Faried\farieke01,PF,27,DEN,61,34,21.24590164,228,6.819672131,0.548,0,6,0,228,410,0.556,0.548,131,3.098360656,0.693,3,4.573770492,7.573770492,55,43,40,0.967213115,2.032786885,9.62295082,1.098612289,1.520337918,2.024691027,3.056164013,0.709407701,2.264150956,1.919811396,1.130873151,-0.03333642,-0.601479992,-0.601479992,-0.36672528
1,131,Derrick Favors\favorde01,PF,25,UTA,50,39,23.72,203,8.34,0.487,3,10,0.3,200,407,0.491,0.49,67,2.18,0.615,1.84,4.26,6.1,56,45,40,1.2,2.06,9.52,0.609765572,1.44926916,1.808288771,3.166318574,0.722705983,2.253394849,2.121063216,0.779324877,0.182321557,-0.713349888,-0.719491156,-0.486133011
1,132,Kay Felder\feldeka01,PG,21,CLE,42,0,9.19047619,62,3.761904762,0.392,7,22,0.318,55,136,0.404,0.415,35,1.166666667,0.714,0.071428571,0.904761905,0.976190476,58,18,7,0.714285714,0.904761905,3.952380952,-2.63905733,-0.100083459,-0.024097552,2.218167751,-0.100083459,1.37431817,1.324925415,0.15415068,-0.336472237,-0.879476759,-0.936493439,-0.336872317
1,133,Cristiano Felício\feliccr01,C,24,CHI,66,0,15.75757576,128,3.348484848,0.579,0,0,,128,221,0.579,0.579,60,1.409090909,0.645,1.878787879,2.833333333,4.712121212,40,25,17,0.5,1.666666667,4.787878788,0.630626824,1.041453875,1.55013817,2.75732125,0.510825624,1.566087472,1.208507959,0.342944751,-0.693147181,-0.546452801,-0.546452801,-0.438504962
1,134,Raymond Felton\feltora01,PG,32,LAC,80,11,21.25,221,6.425,0.43,46,144,0.319,175,370,0.473,0.475,50,0.8,0.781,0.4125,2.3125,2.725,191,66,22,1.0375,1.5625,6.725,-0.885519073,0.83832919,1.002468428,3.056356895,0.446287103,1.905831925,1.860196631,-0.223143551,0.036813973,-0.744440475,-0.84397007,-0.247180129
1,135,Yogi Ferrell\ferreyo01,PG,23,TOT,46,29,26.02173913,160,8.565217391,0.406,68,176,0.386,92,218,0.422,0.492,74,1.934782609,0.831,0.434782609,1.97826087,2.413043478,172,42,9,1.52173913,1.956521739,10.04347826,-0.832909123,0.68221811,0.880888805,3.258932309,0.671168274,2.306923495,2.147709513,0.659994973,0.419853846,-0.709276562,-0.901402119,-0.185125484
